
============================================================
STAGE 1 TCN FORECASTER | 2026-05-25 16:32:52
Window: 9 | Epoch: 100 | Batch: 3
============================================================
Epoch    1/100 | MSE: 0.8219943 | LR: 1.00e-03
Epoch    2/100 | MSE: 0.4607657 | LR: 1.00e-03
Epoch    3/100 | MSE: 0.3942731 | LR: 1.00e-03
Epoch    4/100 | MSE: 0.3782019 | LR: 1.00e-03
Epoch    5/100 | MSE: 0.3457512 | LR: 1.00e-03
Epoch    6/100 | MSE: 0.3101903 | LR: 1.00e-03
Epoch    7/100 | MSE: 0.2535359 | LR: 1.00e-03
Epoch    8/100 | MSE: 0.2125671 | LR: 1.00e-03
Epoch    9/100 | MSE: 0.1835554 | LR: 1.00e-03
Epoch   10/100 | MSE: 0.1552193 | LR: 1.00e-03
Epoch   11/100 | MSE: 0.1348858 | LR: 1.00e-03
Epoch   12/100 | MSE: 0.1011738 | LR: 1.00e-03
Epoch   13/100 | MSE: 0.0984856 | LR: 1.00e-03
Epoch   14/100 | MSE: 0.0668481 | LR: 1.00e-03
Epoch   15/100 | MSE: 0.0758637 | LR: 1.00e-03
Epoch   16/100 | MSE: 0.0650164 | LR: 1.00e-03
Epoch   17/100 | MSE: 0.0595984 | LR: 1.00e-03
Epoch   18/100 | MSE: 0.0520450 | LR: 1.00e-03
Epoch   19/100 | MSE: 0.0440767 | LR: 1.00e-03
Epoch   20/100 | MSE: 0.0510244 | LR: 1.00e-03
Epoch   21/100 | MSE: 0.0473836 | LR: 1.00e-03
Epoch   22/100 | MSE: 0.0495208 | LR: 1.00e-03
Epoch   23/100 | MSE: 0.0488075 | LR: 1.00e-03
Epoch   24/100 | MSE: 0.0426111 | LR: 1.00e-03
Epoch   25/100 | MSE: 0.0416312 | LR: 1.00e-03
Epoch   26/100 | MSE: 0.0396057 | LR: 1.00e-03
Epoch   27/100 | MSE: 0.0433911 | LR: 1.00e-03
Epoch   28/100 | MSE: 0.0369818 | LR: 1.00e-03
Epoch   29/100 | MSE: 0.0508424 | LR: 1.00e-03
Epoch   30/100 | MSE: 0.0342776 | LR: 1.00e-03
Epoch   31/100 | MSE: 0.0340913 | LR: 1.00e-03
Epoch   32/100 | MSE: 0.0382344 | LR: 1.00e-03
Epoch   33/100 | MSE: 0.0323602 | LR: 1.00e-03
Epoch   34/100 | MSE: 0.0342053 | LR: 1.00e-03
Epoch   35/100 | MSE: 0.0334707 | LR: 1.00e-03
Epoch   36/100 | MSE: 0.0378881 | LR: 1.00e-03
Epoch   37/100 | MSE: 0.0374711 | LR: 1.00e-03
