
============================================================
STAGE 2 MLP CLASSIFIER | 2026-05-26 13:50:10
Sampel: 12 hari | Epoch: 100 | Batch: 3
Distribusi: Sehat=9 Warning=2 Not Ready=1
============================================================
Epoch    1/100 | CE: 1.041127 | Acc:  50.00% | LR: 1.00e-03
Epoch    2/100 | CE: 0.789162 | Acc:  75.00% | LR: 1.00e-03
Epoch    3/100 | CE: 1.142077 | Acc:  75.00% | LR: 1.00e-03
Epoch    4/100 | CE: 0.787140 | Acc:  75.00% | LR: 1.00e-03
Epoch    5/100 | CE: 0.625597 | Acc:  91.67% | LR: 1.00e-03
Epoch    6/100 | CE: 0.584613 | Acc:  91.67% | LR: 1.00e-03
Epoch    7/100 | CE: 0.586466 | Acc:  91.67% | LR: 1.00e-03
Epoch    8/100 | CE: 0.492070 | Acc:  91.67% | LR: 1.00e-03
Epoch    9/100 | CE: 0.270535 | Acc: 100.00% | LR: 1.00e-03
Epoch   10/100 | CE: 0.464814 | Acc:  91.67% | LR: 1.00e-03
Epoch   11/100 | CE: 0.303546 | Acc: 100.00% | LR: 1.00e-03
Epoch   12/100 | CE: 0.274568 | Acc: 100.00% | LR: 1.00e-03
Epoch   13/100 | CE: 0.204863 | Acc: 100.00% | LR: 1.00e-03
Epoch   14/100 | CE: 0.229554 | Acc: 100.00% | LR: 1.00e-03
Epoch   15/100 | CE: 0.103559 | Acc: 100.00% | LR: 1.00e-03
Epoch   16/100 | CE: 0.124059 | Acc: 100.00% | LR: 1.00e-03
Epoch   17/100 | CE: 0.192841 | Acc: 100.00% | LR: 1.00e-03
Epoch   18/100 | CE: 0.138317 | Acc: 100.00% | LR: 1.00e-03
Epoch   19/100 | CE: 0.093008 | Acc: 100.00% | LR: 1.00e-03
Epoch   20/100 | CE: 0.090965 | Acc: 100.00% | LR: 1.00e-03
Epoch   21/100 | CE: 0.088063 | Acc: 100.00% | LR: 1.00e-03
Epoch   22/100 | CE: 0.051231 | Acc: 100.00% | LR: 1.00e-03
Epoch   23/100 | CE: 0.053429 | Acc: 100.00% | LR: 1.00e-03
Epoch   24/100 | CE: 0.153977 | Acc: 100.00% | LR: 1.00e-03
Epoch   25/100 | CE: 0.060497 | Acc: 100.00% | LR: 1.00e-03
Epoch   26/100 | CE: 0.036397 | Acc: 100.00% | LR: 1.00e-03
