
============================================================
STAGE 1 TCN FORECASTER | 2026-05-29 15:07:14
Window: 10 | Epoch: 100 | Batch: 3
============================================================
Epoch    1/100 | MSE: 0.5641885 | LR: 1.00e-03
Epoch    2/100 | MSE: 0.3556573 | LR: 1.00e-03
Epoch    3/100 | MSE: 0.3442893 | LR: 1.00e-03
Epoch    4/100 | MSE: 0.3194430 | LR: 1.00e-03
Epoch    5/100 | MSE: 0.2737953 | LR: 1.00e-03
Epoch    6/100 | MSE: 0.2370542 | LR: 1.00e-03
Epoch    7/100 | MSE: 0.2039250 | LR: 1.00e-03
Epoch    8/100 | MSE: 0.1545270 | LR: 1.00e-03
Epoch    9/100 | MSE: 0.1256978 | LR: 1.00e-03
Epoch   10/100 | MSE: 0.1038703 | LR: 1.00e-03
Epoch   11/100 | MSE: 0.0806688 | LR: 1.00e-03
Epoch   12/100 | MSE: 0.0698826 | LR: 1.00e-03
Epoch   13/100 | MSE: 0.0662170 | LR: 1.00e-03
Epoch   14/100 | MSE: 0.0658456 | LR: 1.00e-03
Epoch   15/100 | MSE: 0.0605237 | LR: 1.00e-03
Epoch   16/100 | MSE: 0.0486600 | LR: 1.00e-03
Epoch   17/100 | MSE: 0.0572147 | LR: 1.00e-03
Epoch   18/100 | MSE: 0.0457068 | LR: 1.00e-03
Epoch   19/100 | MSE: 0.0409610 | LR: 1.00e-03
Epoch   20/100 | MSE: 0.0490421 | LR: 1.00e-03
Epoch   21/100 | MSE: 0.0476378 | LR: 1.00e-03
Epoch   22/100 | MSE: 0.0371600 | LR: 1.00e-03
Epoch   23/100 | MSE: 0.0504171 | LR: 1.00e-03
Epoch   24/100 | MSE: 0.0452411 | LR: 1.00e-03
Epoch   25/100 | MSE: 0.0357400 | LR: 1.00e-03
Epoch   26/100 | MSE: 0.0394594 | LR: 1.00e-03
Epoch   27/100 | MSE: 0.0498791 | LR: 1.00e-03
Epoch   28/100 | MSE: 0.0371412 | LR: 1.00e-03
Epoch   29/100 | MSE: 0.0394439 | LR: 1.00e-03
Epoch   30/100 | MSE: 0.0318884 | LR: 1.00e-03
Epoch   31/100 | MSE: 0.0338660 | LR: 1.00e-03
Epoch   32/100 | MSE: 0.0276202 | LR: 1.00e-03
Epoch   33/100 | MSE: 0.0378927 | LR: 1.00e-03
Epoch   34/100 | MSE: 0.0318726 | LR: 1.00e-03
