
============================================================
STAGE 2 MLP CLASSIFIER | 2026-05-19 15:02:18
Sampel: 9 hari | Epoch: 100 | Batch: 4
Distribusi: Sehat=6 Pre-Anomali=2 Warning=1
============================================================
Epoch    1/100 | CE: 1.018850 | Acc:  62.50% | LR: 1.00e-03
Epoch    2/100 | CE: 1.322947 | Acc:  62.50% | LR: 1.00e-03
Epoch    3/100 | CE: 1.022723 | Acc:  62.50% | LR: 1.00e-03
Epoch    4/100 | CE: 1.004438 | Acc:  75.00% | LR: 1.00e-03
Epoch    5/100 | CE: 1.022336 | Acc:  62.50% | LR: 1.00e-03
Epoch    6/100 | CE: 0.997073 | Acc:  75.00% | LR: 1.00e-03
Epoch    7/100 | CE: 0.965730 | Acc:  62.50% | LR: 1.00e-03
Epoch    8/100 | CE: 0.910550 | Acc:  87.50% | LR: 1.00e-03
Epoch    9/100 | CE: 0.862965 | Acc:  50.00% | LR: 1.00e-03
Epoch   10/100 | CE: 0.708073 | Acc:  62.50% | LR: 1.00e-03
Epoch   11/100 | CE: 0.493602 | Acc:  87.50% | LR: 1.00e-03
Epoch   12/100 | CE: 0.404717 | Acc:  87.50% | LR: 1.00e-03
Epoch   13/100 | CE: 0.431516 | Acc: 100.00% | LR: 1.00e-03
Epoch   14/100 | CE: 0.367523 | Acc: 100.00% | LR: 1.00e-03
Epoch   15/100 | CE: 0.823413 | Acc:  87.50% | LR: 1.00e-03
Epoch   16/100 | CE: 1.072682 | Acc:  87.50% | LR: 1.00e-03
Epoch   17/100 | CE: 0.514999 | Acc:  87.50% | LR: 1.00e-03
Epoch   18/100 | CE: 0.462112 | Acc:  87.50% | LR: 1.00e-03
Epoch   19/100 | CE: 0.526600 | Acc:  87.50% | LR: 1.00e-03
Epoch   20/100 | CE: 0.578745 | Acc:  87.50% | LR: 1.00e-03
Epoch   21/100 | CE: 0.623915 | Acc:  87.50% | LR: 1.00e-03
Epoch   22/100 | CE: 0.391595 | Acc: 100.00% | LR: 1.00e-03
Epoch   23/100 | CE: 0.253614 | Acc: 100.00% | LR: 1.00e-03
Epoch   24/100 | CE: 0.393049 | Acc:  87.50% | LR: 1.00e-03
Epoch   25/100 | CE: 0.247517 | Acc: 100.00% | LR: 1.00e-03
Epoch   26/100 | CE: 0.251823 | Acc: 100.00% | LR: 1.00e-03
Epoch   27/100 | CE: 0.311429 | Acc: 100.00% | LR: 1.00e-03
Epoch   28/100 | CE: 0.302816 | Acc:  87.50% | LR: 1.00e-03
Epoch   29/100 | CE: 0.181515 | Acc: 100.00% | LR: 1.00e-03
Epoch   30/100 | CE: 0.130377 | Acc: 100.00% | LR: 1.00e-03
Epoch   31/100 | CE: 0.198603 | Acc: 100.00% | LR: 1.00e-03
Epoch   32/100 | CE: 0.229439 | Acc: 100.00% | LR: 1.00e-03
Epoch   33/100 | CE: 0.110326 | Acc: 100.00% | LR: 1.00e-03
Epoch   34/100 | CE: 0.087430 | Acc: 100.00% | LR: 1.00e-03
Epoch   35/100 | CE: 0.147567 | Acc: 100.00% | LR: 1.00e-03
Epoch   36/100 | CE: 0.056957 | Acc: 100.00% | LR: 1.00e-03
Epoch   37/100 | CE: 0.051363 | Acc: 100.00% | LR: 1.00e-03
Epoch   38/100 | CE: 0.107481 | Acc: 100.00% | LR: 1.00e-03
Epoch   39/100 | CE: 0.068330 | Acc: 100.00% | LR: 1.00e-03
Epoch   40/100 | CE: 0.025569 | Acc: 100.00% | LR: 1.00e-03
Epoch   41/100 | CE: 0.085561 | Acc: 100.00% | LR: 1.00e-03
Epoch   42/100 | CE: 0.047745 | Acc: 100.00% | LR: 1.00e-03
Epoch   43/100 | CE: 0.096279 | Acc: 100.00% | LR: 1.00e-03
Epoch   44/100 | CE: 0.049517 | Acc: 100.00% | LR: 1.00e-03
Epoch   45/100 | CE: 0.053664 | Acc: 100.00% | LR: 1.00e-03
Epoch   46/100 | CE: 0.060198 | Acc: 100.00% | LR: 1.00e-03
Epoch   47/100 | CE: 0.078516 | Acc: 100.00% | LR: 1.00e-03
Epoch   48/100 | CE: 0.025875 | Acc: 100.00% | LR: 1.00e-03
Epoch   49/100 | CE: 0.083587 | Acc: 100.00% | LR: 1.00e-03
Epoch   50/100 | CE: 0.076930 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_50.pth
Epoch   51/100 | CE: 0.062818 | Acc: 100.00% | LR: 1.00e-03
Epoch   52/100 | CE: 0.067783 | Acc: 100.00% | LR: 1.00e-03
Epoch   53/100 | CE: 0.044260 | Acc: 100.00% | LR: 1.00e-03
Epoch   54/100 | CE: 0.016398 | Acc: 100.00% | LR: 1.00e-03
Epoch   55/100 | CE: 0.023817 | Acc: 100.00% | LR: 1.00e-03
Epoch   56/100 | CE: 0.061207 | Acc: 100.00% | LR: 1.00e-03
Epoch   57/100 | CE: 0.014923 | Acc: 100.00% | LR: 1.00e-03
Epoch   58/100 | CE: 0.016766 | Acc: 100.00% | LR: 1.00e-03
Epoch   59/100 | CE: 0.007745 | Acc: 100.00% | LR: 1.00e-03
Epoch   60/100 | CE: 0.010161 | Acc: 100.00% | LR: 1.00e-03
Epoch   61/100 | CE: 0.027049 | Acc: 100.00% | LR: 1.00e-03
Epoch   62/100 | CE: 0.015354 | Acc: 100.00% | LR: 1.00e-03
Epoch   63/100 | CE: 0.039159 | Acc: 100.00% | LR: 1.00e-03
Epoch   64/100 | CE: 0.008012 | Acc: 100.00% | LR: 1.00e-03
Epoch   65/100 | CE: 0.015982 | Acc: 100.00% | LR: 1.00e-03
Epoch   66/100 | CE: 0.012552 | Acc: 100.00% | LR: 1.00e-03
Epoch   67/100 | CE: 0.018217 | Acc: 100.00% | LR: 1.00e-03
Epoch   68/100 | CE: 0.011168 | Acc: 100.00% | LR: 1.00e-03
Epoch   69/100 | CE: 0.008441 | Acc: 100.00% | LR: 1.00e-03
Epoch   70/100 | CE: 0.017543 | Acc: 100.00% | LR: 1.00e-03
Epoch   71/100 | CE: 0.015711 | Acc: 100.00% | LR: 1.00e-03
Epoch   72/100 | CE: 0.014450 | Acc: 100.00% | LR: 1.00e-03
Epoch   73/100 | CE: 0.015242 | Acc: 100.00% | LR: 1.00e-03
Epoch   74/100 | CE: 0.067584 | Acc: 100.00% | LR: 1.00e-03
Epoch   75/100 | CE: 0.008830 | Acc: 100.00% | LR: 1.00e-03
Epoch   76/100 | CE: 0.013735 | Acc: 100.00% | LR: 1.00e-03
Epoch   77/100 | CE: 0.010350 | Acc: 100.00% | LR: 1.00e-03
Epoch   78/100 | CE: 0.007372 | Acc: 100.00% | LR: 1.00e-03
Epoch   79/100 | CE: 0.014713 | Acc: 100.00% | LR: 1.00e-03
Epoch   80/100 | CE: 0.011567 | Acc: 100.00% | LR: 1.00e-03
Epoch   81/100 | CE: 0.006689 | Acc: 100.00% | LR: 1.00e-03
Epoch   82/100 | CE: 0.011709 | Acc: 100.00% | LR: 1.00e-03
Epoch   83/100 | CE: 0.012652 | Acc: 100.00% | LR: 1.00e-03
Epoch   84/100 | CE: 0.011868 | Acc: 100.00% | LR: 1.00e-03
Epoch   85/100 | CE: 0.010604 | Acc: 100.00% | LR: 1.00e-03
Epoch   86/100 | CE: 0.035992 | Acc: 100.00% | LR: 1.00e-03
Epoch   87/100 | CE: 0.017107 | Acc: 100.00% | LR: 1.00e-03
Epoch   88/100 | CE: 0.021280 | Acc: 100.00% | LR: 1.00e-03
Epoch   89/100 | CE: 0.004574 | Acc: 100.00% | LR: 1.00e-03
Epoch   90/100 | CE: 0.020021 | Acc: 100.00% | LR: 1.00e-03
Epoch   91/100 | CE: 0.006650 | Acc: 100.00% | LR: 1.00e-03
Epoch   92/100 | CE: 0.012488 | Acc: 100.00% | LR: 1.00e-03
Epoch   93/100 | CE: 0.006921 | Acc: 100.00% | LR: 1.00e-03
Epoch   94/100 | CE: 0.011650 | Acc: 100.00% | LR: 1.00e-03
Epoch   95/100 | CE: 0.007599 | Acc: 100.00% | LR: 1.00e-03
Epoch   96/100 | CE: 0.013841 | Acc: 100.00% | LR: 1.00e-03
Epoch   97/100 | CE: 0.006818 | Acc: 100.00% | LR: 1.00e-03
Epoch   98/100 | CE: 0.004756 | Acc: 100.00% | LR: 1.00e-03
Epoch   99/100 | CE: 0.003216 | Acc: 100.00% | LR: 1.00e-03
Epoch  100/100 | CE: 0.007341 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_100.pth
=== STAGE 2 SELESAI ===

model_stage2_classifier.pth disimpan
